AnneSo;Alex<3;
25304;25312;25536;25544;25713;25722;25890;25897;26687;26696;27034;27042;f;
40363;40372;40573;40583;40797;40806;41069;41076;42127;42136;42474;42483;f;
49637;49646;49833;49841;50035;50043;50184;50194;50603;50610;51074;51082;f;
57735;57744;58008;58016;58203;58212;58458;58467;59004;59013;59637;59646;f;
65710;65719;65963;65972;66119;66128;66254;66262;66790;66798;67230;67237;f;
74784;74792;75004;75013;75198;75207;75337;75346;76030;76039;76410;76419;f;
82589;82598;82856;82864;83104;83112;83254;83263;84510;84519;84890;84899;f;
92682;92690;93348;93356;93508;93518;93702;93711;94938;94947;95360;95369;f;
102520;102530;102710;102719;103203;103212;103338;103347;103969;103978;104428;104436;f;
110944;110953;111106;111116;111265;111274;111416;111424;112103;112111;112494;112503;f;
118124;118132;118326;118333;118498;118508;118742;118752;119172;119181;119538;119545;f;
129168;129176;129383;129391;129562;129571;129714;129722;130257;130265;130656;130664;f;
137024;137032;137197;137206;137404;137412;137549;137557;138003;138011;138386;138394;f;
161593;161602;161860;161869;162072;162081;162261;162269;162895;162904;163305;163314;f;
171079;171088;171300;171308;171462;171470;171641;171648;172027;172036;172471;172479;f;
180897;180906;181060;181070;181273;181281;181475;181482;181984;181993;182355;182364;f;
188388;188396;188553;188562;188751;188760;188973;188982;189345;189353;189700;189707;f;
196431;196439;196613;196623;196795;196804;196979;196989;197487;197495;197917;197925;f;
203119;203126;203295;203306;203465;203472;203620;203628;204117;204126;204489;204497;f;
210231;210239;210453;210462;210619;210628;210765;210773;211357;211365;211719;211729;f;
219381;219389;219609;219618;219775;219783;219918;219927;220214;220223;220615;220625;f;
232933;232941;233131;233141;233343;233352;233523;233530;233897;233906;234286;234295;f;
238789;238798;239007;239016;239236;239244;239431;239440;241466;241476;242351;242359;f;
250180;250189;250381;250391;250571;250580;250727;250737;251053;251062;251407;251416;f;
256389;256397;256541;256549;256733;256741;256914;256922;257760;257768;258104;258111;f;
266146;266153;266277;266286;266499;266507;266676;266684;267248;267255;267710;267720;f;
272474;272481;272605;272613;272815;272823;272991;272999;273353;273362;273732;273741;f;
282250;282258;282465;282472;282658;282667;282925;282933;283250;283257;283672;283680;f;
288162;288171;288383;288390;288616;288623;288778;288787;289241;289249;289633;289641;f;
295790;295798;296026;296034;296254;296263;296508;296518;296820;296829;297331;297340;f;
301486;301495;301644;301653;301862;301870;302064;302073;302472;302481;302870;302878;f;
320338;320347;320784;320793;321013;321022;321724;321733;322586;322594;323377;323385;f;
330083;330090;330334;330342;330574;330584;330806;330815;331226;331234;331582;331591;f;
336038;336047;336312;336321;336482;336491;336661;336670;337110;337119;337479;337488;f;
344430;344438;344692;344701;344934;344941;345160;345169;346354;346361;346773;346780;f;
353540;353548;354514;354524;354702;354710;355165;355173;355780;355788;356114;356122;f;
370507;370517;370945;370953;371173;371182;371380;371388;371854;371862;372172;372181;f;
377240;377248;377374;377384;377588;377597;377774;377781;378123;378132;378460;378469;f;
382534;382543;382873;382883;383064;383074;383223;383232;383598;383607;383963;383972;f;
392534;392543;392812;392821;393012;393021;393181;393190;393564;393573;393899;393909;f;
398885;398894;399115;399122;399326;399335;399470;399479;400152;400160;400186;400195;f;
406226;406233;406406;406414;406615;406625;406763;406772;407154;407164;407503;407512;f;
411825;411833;411994;412002;412175;412184;412341;412350;412709;412717;413049;413057;f;
417785;417795;417953;417962;418157;418165;418283;418291;418687;418696;419035;419043;f;
424309;424317;424468;424476;424645;424655;424812;424822;425229;425239;425605;425615;f;
430387;430396;430579;430588;430747;430755;430877;430887;431265;431274;431609;431617;f;
436075;436085;436237;436245;436419;436429;436554;436561;436889;436897;437245;437254;f;
442505;442514;442717;442726;442886;442894;443021;443031;443337;443346;443726;443733;f;
448435;448443;448624;448631;448779;448788;448889;448899;449187;449195;449609;449618;f;
458331;458341;459438;459446;459587;459595;459727;459737;460081;460090;460450;460459;f;
467771;467780;467971;467980;468118;468126;468246;468255;468693;468702;469056;469065;f;
9404;9536;9589;9671;9762;9868;9900;9993;10486;10530;10908;11016;f;
17737;17866;18006;18079;18170;18252;18260;18354;18761;18837;19517;19517;f;
36013;36141;36248;36321;36462;36553;36602;36686;37065;37131;37473;37552;f;
41333;41457;41561;41648;41713;41798;41856;41952;42265;42343;42623;42713;f;
46743;46859;46965;47045;47133;47234;47355;47438;48267;48362;48651;48744;f;
52683;52801;52889;52955;53079;53159;53195;53283;53616;53687;54483;54591;f;
62044;62170;62311;62387;62512;62595;62649;62729;63171;63276;63593;63703;f;
67643;67779;67826;67903;68009;68141;68161;68254;68586;68701;68968;69093;f;
73279;73422;73431;73517;73631;73719;73822;73915;74181;74290;74541;74673;f;
80808;80919;81019;81095;81255;81385;81417;81517;81661;81773;82038;82155;f;
93589;93727;93776;93846;93979;94073;94117;94231;94487;94569;94875;94983;f;
