Lucas;Lovecraft;
15836;15843;16306;16314;16640;16648;16789;16798;16959;16968;17132;17140;17299;17308;17457;17466;17639;17648;f;
24029;24037;24201;24210;24353;24361;24474;24484;24627;24635;24819;24827;24965;24972;25107;25115;25287;25296;f;
10631;10640;10820;10828;10960;10968;11179;11187;11381;11390;11490;11499;11656;11663;11791;11800;11957;11965;f;
7673;7682;7890;7898;8031;8039;8095;8104;8228;8235;8350;8359;8489;8497;8624;8631;8795;8803;f;
8647;8656;8829;8838;9224;9232;9355;9363;9476;9485;9586;9595;9744;9751;9871;9879;10038;10046;f;
7690;7699;7916;7924;8060;8069;8139;8148;8903;8912;8982;8990;9138;9146;9261;9270;9422;9430;f;
9677;9685;9856;9864;9978;9987;10124;10132;10254;10262;10357;10367;10535;10544;10666;10675;10859;10868;f;
6865;6874;7027;7036;7071;7080;7163;7172;7301;7310;7392;7401;7532;7541;7642;7651;7796;7804;f;
8405;8414;9863;9872;9953;9961;10057;10065;10217;10225;10293;10302;10462;10470;10553;10562;10727;10736;f;
9904;9911;10088;10096;10162;10171;10243;10252;10776;10785;10866;10873;11037;11045;11164;11172;11352;11360;f;
12115;12226;12307;12411;12491;12586;12643;12738;12970;13058;13187;13322;13355;13458;13491;13594;13682;13786;f;
10593;10680;10840;10928;11080;11168;11272;11368;11568;11672;11672;11792;11816;11928;11984;12088;12176;12264;f;
12038;12141;12350;12437;12581;12670;12741;12846;12893;13006;13021;13190;13190;13309;13357;13454;13542;13629;f;
15025;15121;15361;15458;15521;15641;15665;15769;15897;15985;16114;16217;16218;16329;16361;16457;16553;16658;f;
17073;17081;17246;17253;17337;17346;17422;17430;17589;17598;17673;17682;17850;17859;17971;17980;18126;18134;f;
11082;11090;12186;12194;12249;12258;12318;12327;12467;12474;12528;12536;12687;12697;12799;12808;12928;12936;f;
8014;8023;8170;8178;8258;8266;8332;8341;8524;8532;8557;8566;8731;8739;8810;8819;8976;8985;f;
10520;10529;10686;10694;10796;10805;10823;10832;11043;11052;11111;11119;11269;11277;11385;11393;11562;11571;f;
12198;12294;12430;12518;12558;12662;12734;12846;12958;13030;13150;13254;13278;13390;13422;13510;13614;13702;f;
13344;13456;13564;13638;13722;13837;13870;13982;14580;14673;14721;14768;14894;14987;15068;15171;15235;15358;f;
17386;17395;17693;17700;18889;18897;19394;19401;19763;19771;19938;19947;20217;20226;20724;20733;20816;20823;f;
10949;11071;11240;11315;11391;11523;11590;11825;11847;11912;11979;12020;12099;12194;12711;12782;12862;12937;f;
13889;14027;14233;14359;15848;15947;15947;15955;15955;15961;16240;16243;16243;16246;16246;16304;16362;16462;f;
